itch_game_url,counts
https://01010111.itch.io/bedhogg,7
https://01010111.itch.io/pt,9
https://1-rob-41690.itch.io/clivenwrench,10
https://1029chris.itch.io/dont-get-a-virus,10
https://12amstatic.itch.io/deliverance,10
https://1cc-games.itch.io/space-moth,10
https://1f1n1ty.itch.io/capsule-guy,10
https://1weekend-studio.itch.io/kings-maker,10
https://2000damage.itch.io/sky-is-arrows,10
https://2darray.itch.io/the-company-of-myself,11
https://2ndstudio.itch.io/jazon-and-the-dead,10
https://3di70r.itch.io/sonic-suggests,8
https://3dmethods.itch.io/inside-the-void,11
https://3hg.itch.io/a-flower-from-hermes,11
https://3hg.itch.io/animal-crackers,11
https://3hg.itch.io/extra-planetary,14
https://3hg.itch.io/sovereign-tea,11
https://3hg.itch.io/war-of-the-lilies,8
https://3hg.itch.io/wdydwyafpoatasy,11
https://3strakgames.itch.io/didstress,11
https://4hstudiolab.itch.io/space-between-worlds,14
https://5evergames.itch.io/farfalle-os,11
https://6eyesstudio.itch.io/fell-seal-arbiters-mark-demo,11
https://97circle.itch.io/pitch-black-serenade,9
https://9vaca.itch.io/hearts-illumination,9
https://a-c-l.itch.io/apartment3906,10
https://a-little-extra-games.itch.io/a-little-too-deep-into-sleep,9
https://aarchijsl.itch.io/silent-neighbours,10
https://aareed.itch.io/blue-lacuna,11
https://aaron-ds.itch.io/robinson,9
https://ababo.itch.io/love-blossom,9
https://ababo.itch.io/school-festival,7
https://ababo.itch.io/shutter-chance,9
https://aberrationstudios.itch.io/mimo,7
https://ablableu.itch.io/people-of-the-moon,12
https://abockley.itch.io/no-crying-in-baseball,9
https://abyssal-instinct.itch.io/handyworkers-tale,12
https://acerbial.itch.io/sarcophagus,7
https://acesgames.itch.io/unaware,14
https://acornbringer.itch.io/sprout,9
https://acosmos.itch.io/tour-de-akiba,8
https://acroviu.itch.io/kzc,10
https://adam-lost-memories.itch.io/game,7
https://adamgryu.itch.io/a-short-hike,9
https://adamgryu.itch.io/now-thats-sport,8
https://adarook.itch.io/homeland,10
https://adirosa.itch.io/cerulean,10
https://adrielxyz.itch.io/time-omelette,10
https://adrienponcet.itch.io/mon-demon-et-moi,8
