game_name,game_release_date,game_url
The Walking Dead,,https://store.steampowered.com/app/207610/The_Walking_Dead/
Azur Lane Crosswave,,https://store.steampowered.com/app/1150080/Azur_Lane_Crosswave/
Space Engineers,,https://store.steampowered.com/app/244850/Space_Engineers/
Planet Zoo,,https://store.steampowered.com/app/703080/Planet_Zoo/
Conan Exile,,https://store.steampowered.com/app/440900/Conan_Exiles/
Marvel's Avengers,,https://store.steampowered.com/app/997070/Marvels_Avengers/
Mortal Kombat 11,,https://store.steampowered.com/app/976310/Mortal_Kombat11/
Parkitect,,https://store.steampowered.com/app/453090/Parkitect/
Grim Dawn,,https://store.steampowered.com/app/219990/Grim_Dawn/
DayZ,,https://store.steampowered.com/app/221100/DayZ/
Don't Starve,,https://store.steampowered.com/app/219740/Dont_Starve/
"Invisible, Inc.",,https://store.steampowered.com/app/243970/Invisible_Inc/
Mark of the Ninja: Remastered,"",https://store.steampowered.com/app/860950/Mark_of_the_Ninja_Remastered/
Hot Lava,"",https://store.steampowered.com/app/382560/Hot_Lava/
Oxygen Not Included,"",https://store.steampowered.com/app/457140/Oxygen_Not_Included/
Don't Starve Together,"",https://store.steampowered.com/app/322330/Dont_Starve_Together/
Moonlighter,,https://store.steampowered.com/app/606150/Moonlighter/
Frostpunk,,https://store.steampowered.com/app/323190/Frostpunk/
Shadow of the Tomb Raider: Definitive Edition,,https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider_Definitive_Edition/
Scythe: Digital Edition,,https://store.steampowered.com/app/718560/Scythe_Digital_Edition/
Northgard,,https://store.steampowered.com/app/466560/Northgard/
Age of Empires,,https://store.steampowered.com/app/1017900/Age_of_Empires_Definitive_Edition/
Age of Empires II: Definitive Edition,,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/
The Escapists 2,,https://store.steampowered.com/app/641990/The_Escapists_2/
Nancy Drew: Ghost of Thornton Hall,,https://store.steampowered.com/app/226820/Nancy_Drew_Ghost_of_Thornton_Hall/
AMID EVIL,,https://store.steampowered.com/app/673130/AMID_EVIL/
DUSK,"",https://store.steampowered.com/app/519860/DUSK/
Forts,,https://store.steampowered.com/app/410900/Forts/
Pathfinder: Kingmaker - Enhanced Edition,,https://store.steampowered.com/app/640820/Pathfinder_Kingmaker__Enhanced_Edition/
Mutant Year Zero: Road to Eden,,https://store.steampowered.com/app/760060/Mutant_Year_Zero_Road_to_Eden/
House Flipper,,https://store.steampowered.com/app/613100/House_Flipper/
Battle Brothers,,https://store.steampowered.com/app/365360/Battle_Brothers/
Planetbase,,https://store.steampowered.com/app/403190/Planetbase/
Dawn of Man,"",https://store.steampowered.com/app/858810/Dawn_of_Man/
FINAL FANTASY XV,,https://store.steampowered.com/app/637650/FINAL_FANTASY_XV_WINDOWS_EDITION/
Subnautica,,https://store.steampowered.com/app/264710/Subnautica/
Marvel's Avengers,"4 Sep, 2020",https://store.steampowered.com/app/997070/Marvels_Avengers/?snr=1_7_7_topsellers_150_6
Spyro Reignited Trilogy,"3 Sep, 2019",https://store.steampowered.com/app/996580/Spyro_Reignited_Trilogy/?snr=1_7_7_topsellers_150_8
Ancient Enemy,"9 Apr, 2020",https://store.steampowered.com/app/993790/Ancient_Enemy/?snr=1_7_7_topsellers_150_6
Legend of Keepers: Career of a Dungeon Master,"19 Mar, 2020",https://store.steampowered.com/app/978520/Legend_of_Keepers_Career_of_a_Dungeon_Master/?snr=1_7_7_topsellers_150_11
