game_name,game_release_date,game_url
Mortal Kombat 11 PE + Injustice 2 LE - Premier Fighter,,https://store.steampowered.com/bundle/12715/Mortal_Kombat11_PE__Injustice2_LE__Premier_Fighter/?snr=1_7_7_topsellers_150_1
Rocket League®,"6 Jul, 2015",https://store.steampowered.com/app/252950/Rocket_League/?snr=1_7_7_topsellers_150_1
Valve Index VR Kit,"28 Jun, 2019",https://store.steampowered.com/sub/354231/?snr=1_7_7_topsellers_150_1
Door Kickers: Action Squad,"10 Sep, 2018",https://store.steampowered.com/app/686200/Door_Kickers_Action_Squad/?snr=1_7_7_topsellers_150_1
The Jackbox Party Pack 2,"13 Oct, 2015",https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/?snr=1_7_7_topsellers_150_1
The Jackbox Party Pack,"26 Nov, 2014",https://store.steampowered.com/app/331670/The_Jackbox_Party_Pack/?snr=1_7_7_topsellers_150_1
ARK: Survival Evolved Season Pass,"1 Sep, 2016",https://store.steampowered.com/sub/200222/?snr=1_7_7_topsellers_150_2
RESIDENT EVIL 2 / BIOHAZARD RE:2,"24 Jan, 2019",https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2/?snr=1_7_7_topsellers_150_2
Age of Empires II: Definitive Edition,"14 Nov, 2019",https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_topsellers_150_2
Stardew Valley,"26 Feb, 2016",https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_topsellers_150_2
DOOM Eternal,"19 Mar, 2020",https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_topsellers_150_2
GTFO,"9 Dec, 2019",https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_topsellers_150_2
Borderlands 3,"13 Mar, 2020",https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_topsellers_150_2
The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016",https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_topsellers_150_2
New World,"25 Aug, 2020",https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_topsellers_150_2
New World,"25 Aug, 2020",https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_topsellers_150_2
Dawn of Man,"1 Mar, 2019",https://store.steampowered.com/app/858810/Dawn_of_Man/?snr=1_7_7_topsellers_150_2
The Jackbox Party Pack 6,"16 Oct, 2019",https://store.steampowered.com/app/1005300/The_Jackbox_Party_Pack_6/?snr=1_7_7_topsellers_150_2
Subnautica,"23 Jan, 2018",https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_topsellers_150_2
Mutant Year Zero: Road to Eden - Deluxe Edition,,https://store.steampowered.com/bundle/11109/Mutant_Year_Zero_Road_to_Eden__Deluxe_Edition/?snr=1_7_7_topsellers_150_2
The Jackbox Party Pack 4,"18 Oct, 2017",https://store.steampowered.com/app/610180/The_Jackbox_Party_Pack_4/?snr=1_7_7_topsellers_150_2
Planet Zoo,"5 Nov, 2019",https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_topsellers_150_2
Mutant Year Zero: Road to Eden,"4 Dec, 2018",https://store.steampowered.com/app/760060/Mutant_Year_Zero_Road_to_Eden/?snr=1_7_7_topsellers_150_2
Wargroove,"1 Feb, 2019",https://store.steampowered.com/app/607050/Wargroove/?snr=1_7_7_topsellers_150_2
Injustice™ 2,"14 Nov, 2017",https://store.steampowered.com/app/627270/Injustice_2/?snr=1_7_7_topsellers_150_2
Mortal Kombat 11 PE + Injustice 2 LE - Premier Fighter,,https://store.steampowered.com/bundle/12715/Mortal_Kombat11_PE__Injustice2_LE__Premier_Fighter/?snr=1_7_7_topsellers_150_2
Rocket League®,"6 Jul, 2015",https://store.steampowered.com/app/252950/Rocket_League/?snr=1_7_7_topsellers_150_2
Valve Index VR Kit,"28 Jun, 2019",https://store.steampowered.com/sub/354231/?snr=1_7_7_topsellers_150_2
Door Kickers: Action Squad,"10 Sep, 2018",https://store.steampowered.com/app/686200/Door_Kickers_Action_Squad/?snr=1_7_7_topsellers_150_2
The Jackbox Party Pack 2,"13 Oct, 2015",https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/?snr=1_7_7_topsellers_150_2
